geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,1271.93,1463.88,1371.31,1493.86,1826.5,1980.57,2332.75,2024.97,2201.53,2184.76,2205.17,2170.37,2304.34,2495.65,2523.04,2491.92,2607.56,2567.74,2556.46,2559.78,2711.97,2663.26,2698.86,2819.49,2879.77,3496.97,3423.38,3507.01,3816.48,3297.61,3393.49,3432.96
ago,Angola,439.81,445.56,454.39,479.59,501.8,502.51,466.49,465.87,512.47,535.5,545.43,557.51,564.36,581.54,612.74,614.73,633.72,649.95,670.84,691.78,716.77,728.85,743.25,758.17,757.3,777.32,777.9,807.98,821.42,847.82,868.41,874.3
alb,Albania,227.68,260.66,275.97,291.03,303.45,326.01,345.49,398.35,428.63,383.94,329.11,284.34,253.07,227.2,204.28,181.18,163.78,149.95,140.26,130.32,130.32,133.56,133.09,129.92,129.59,122.21,121.76,121.05,120.27,117.6,101.03,101.87
and,Andorra,0.64,0.7,0.73,0.74,0.74,0.7,0.68,0.69,0.67,0.65,0.63,0.62,0.61,0.66,0.69,0.69,0.71,0.69,0.67,0.64,0.61,0.56,0.54,0.51,0.53,0.53,0.52,0.52,0.53,0.53,0.45,0.45
are,UAE,20.67,21.04,21.05,21.98,22.92,23.45,24.3,25.47,28.25,30.64,31.52,32.92,36.13,38.88,41.15,46.35,58.06,74.12,82.69,91.91,108.01,104.63,100.03,107.99,102.12,94.14,84.35,74.95,68.84,65.61,59.97,51.24
arg,Argentina,2063.22,2033.56,2083.5,2088.03,2171.2,2110.58,2155.47,2131.67,2033.8,2143.1,2435.74,2622.89,2685.7,2425.17,2061.18,1930.05,2060.08,1861.1,2186.18,2347.26,2409.98,2483.82,2729.92,2845.76,2939.5,2889.74,2790.71,2640.96,2523.68,2448.44,2255.91,2161.03
arm,Armenia,185.78,243.56,313.63,385.93,348.43,271.43,232.5,198.17,190.05,170.87,148.38,143.34,130.34,125.03,129.46,145.5,157.68,164.23,152.32,142.22,145.15,137.44,152.2,135.32,131.52,124.56,111.82,91.25,68.91,72.99,72.43,71.16
atg,Antigua and Barbuda,2.14,2.27,2.3,2.48,2.8,3.27,3.08,3.04,3.12,3.14,3.55,4.49,3.84,3.73,4.04,4.52,4.78,5.26,4.64,6.4,5.51,4.98,4.5,4.45,4.02,4.06,4.07,3.92,3.84,3.79,3.21,2.9
aus,Australia,375.35,361.26,340.65,335.24,337.07,330.2,331.53,331.76,336.48,333.95,336.36,330.34,320.42,290.39,246.42,257.41,297.5,303.9,321.65,340.13,322.35,307.72,308.58,299.13,297.41,296.29,272.69,244.93,253.78,269.84,255.49,257.03
aut,Austria,114.71,114.93,120.5,118.02,115.91,103.96,96.23,88.99,87.68,85.15,85.65,84.22,86.19,81.3,81.38,77.47,76.05,73.15,71.41,73.86,70.59,71.41,68.2,65.12,65.66,66.22,62.7,61.64,63.81,63.29,57.87,55.93
aze,Azerbaijan,728.8,1012.35,1665.26,2040.44,2140.11,1519.16,1135.08,954.98,826.99,708.63,605.91,530.37,476.71,447.68,429.81,412.58,372.35,325.51,338.53,343.17,362.57,353.65,359.6,362.87,363.52,356.99,350.23,356.83,365.1,365.23,334.2,342.25
bdi,Burundi,44.44,45.23,46.28,46.08,44.47,46.44,48.18,260.52,45.78,45.92,146.49,46.74,47.64,91.78,104.64,52.45,53.75,106.62,55.64,58.96,62.87,64.97,66.07,67.27,68.41,68.96,68.59,69.12,130.73,96.27,77.4,76.78
bel,Belgium,203.56,204.11,219.63,221.1,223.07,214.49,203.7,201.65,205.43,213.09,198.13,196.59,196.79,181.51,179.03,171.22,164.67,163.69,154.34,155.32,149.21,159.9,151.38,139.65,141.08,134.58,132.76,132.29,129.52,125.29,109.54,121.51
ben,Benin,257.37,266.6,279.1,293,308.58,325.68,341.55,358.27,377.5,386.49,404.72,412.48,419.61,424.36,432.51,442.72,454.08,470.8,482.19,513.8,549.33,576.5,608.07,633.3,653.18,670.37,687.82,693.2,708.63,723,752.13,775.69
bfa,Burkina Faso,1040.1,1041.18,1050.95,1086.23,1101.31,1135.9,1165.63,1194.88,1234.91,1244,1284.45,1286.34,1297.18,1304.11,1324.36,1366.19,1381.43,1403.49,1406.29,1447.85,1515.09,1555.89,1651.24,1743.51,1821.5,1880.98,1984.96,2013.98,2011.77,2102.05,2150.57,2088.31
bgd,Bangladesh,3091.27,3064.94,3179.96,3328.72,3418.28,3612.5,3692.6,3683.42,3700.54,3629.88,3604.7,3554.02,3443.23,3380.06,3324.43,3417.12,3583.4,3582.16,3575.96,3700.1,3699.41,3561.08,3253.97,3283.94,3287.95,3269.92,3312.86,3377.26,3334.03,3303.7,3248.06,3182.42
bgr,Bulgaria,400.96,429.3,486.81,504.41,553.15,522.05,513.71,520.14,458.15,406.22,394.57,369.94,349.75,328.4,318,290.45,270.63,262.65,241.07,232.03,215.19,201.44,199.3,183.26,182.29,171.6,158.23,148.35,146.61,144.32,137.33,134.34
bhr,Bahrain,7.86,8.36,8.62,9.31,9.99,10.32,10.76,10.73,12.69,14.94,16.72,17.9,19.09,21.26,24.54,26.45,27.39,28.07,30.25,31.2,31.49,31.08,31.91,32.26,32.93,32.32,31.49,31.43,31.31,30.24,30.05,29.7
bhs,Bahamas,40.01,35.4,41.58,48.1,56.78,55.06,54.32,57.9,60.75,62,61.56,56.37,56.5,56.75,57.03,71.56,77.24,85.93,93.71,102.83,106.79,122.8,125.62,126.9,123.19,128.07,126.57,125.29,124.26,123.05,120.68,120.61
bih,Bosnia and Herzegovina,54.33,60.68,62.61,58.9,57.55,52.93,47.93,44.79,42.74,42.25,43.32,41.73,41.37,39.95,38.31,39.1,38.31,39.99,36.55,35.08,32.9,32.38,30.7,29.79,28.87,29.31,28.66,27.12,27.92,27.74,24.53,22.43
blr,Belarus,776.25,814.48,1018.03,1215.2,1291.74,1410.4,1325.7,1395.26,1426.6,1445.61,1375.06,1392.62,1573.27,1433.72,1409.53,1333.12,1178.82,1111.44,1236.26,1173.59,1031.66,1144.18,847.16,760.36,699.51,646.94,502.04,378.9,373.44,380.1,381.67,383.87
blz,Belize,15.5,17.26,18.79,19.5,21.07,22.98,26.55,33.82,41.37,40.32,43.93,50.09,56.7,56.04,55.69,63.45,65.01,65.35,72.67,86.09,94.25,98.58,98.03,95.05,90.21,93.45,97.52,97.51,94.9,98.4,86.37,87.9
bol,Bolivia,502.18,510.17,510.98,516.54,519.55,524.27,518.66,532.59,538.18,529.84,579.31,523.47,524.14,519.47,518.54,513.14,517.6,526.59,535.43,546.13,562.84,557.56,557.69,558.53,564.01,566.84,565.98,566.03,567.61,574.97,566.12,567.67
bra,Brazil,40979.27,40812.25,40202.11,42467.51,43609.75,45887.49,47107.4,48895.54,51604.95,52270.51,54432.01,56987.03,58964.25,59288.66,57929.22,56845.27,56809.2,57275.98,58717.78,60291.42,60367.98,60641.52,63098.69,63920.39,65261.46,65984.8,68161.41,67446.07,62823.74,56391.75,56862.01,56015.11
brb,Barbados,25.67,25.64,26.9,28.7,29.75,29.42,27.37,21.89,20.35,22.53,26.19,27.16,28.02,30.95,33.46,36.72,35.73,33.54,33.43,29.09,30.59,34.01,33.59,34.83,35.08,35.73,35.84,35.87,35.88,37.13,34.21,33.16
brn,Brunei,4.16,4.25,4.3,4.35,4.44,4.51,4.64,4.47,4.09,3.83,3.68,3.58,3.51,3.43,3.52,3.51,3.43,3.59,3.57,3.61,3.69,3.83,3.98,4.09,4.12,4.17,4.24,4.2,4.19,4.1,4.22,3.96
btn,Bhutan,11.29,11.51,11.37,10.92,10.52,10.77,10.71,11.24,11.31,10.95,11.9,11.6,10.59,9.49,9.06,9.05,8.77,8.51,8.39,8.49,8.53,8.44,8.4,8.42,8.36,8.2,8.11,7.9,7.66,7.49,7.39,7.27
bwa,Botswana,17.65,19.25,21.95,24.62,28.42,35.09,43.63,57.81,81.02,118.72,172.69,236.96,273.66,292.94,281.55,276.37,266.77,275.95,289.08,300.78,306.54,303.58,290.12,281.35,270.41,263.53,248.91,236.09,231.16,224.89,225.36,224.73
caf,Central African Republic,224.17,236.97,240.24,255.86,265.46,268.26,283.83,287.57,308.26,321.13,325.1,334.85,348.65,356.38,363.09,370.72,382.02,387.28,376.22,387.41,413.96,489.5,425.77,819.22,1524.63,707.99,651.02,1525.91,762.54,460.97,646.28,466.82
can,Canada,673.52,705.58,677,618.06,566.46,492.65,483.33,411.91,429.37,414.6,405.16,424.74,420.38,414.98,453.16,517.39,526.07,511.39,552.63,522.17,560.38,543.61,547.15,506.03,491.43,511.19,507.92,517.63,499.97,492.1,508.56,487.98
che,Switzerland,109.9,113.6,117.85,117.13,114.49,102.06,93.15,90.98,83.84,82.23,80.48,80.51,81.54,76.72,76.31,69.71,65.84,62.95,60.72,62.17,57.12,59.16,57.26,54.44,50.78,49.68,46.53,46.69,47.75,44.99,41.35,42.92
chl,Chile,1064.56,992.71,910.58,853.65,822.85,811.64,806.64,801.67,805.08,790.15,756.18,786.77,767.52,770.32,779.56,833.48,801.38,638.72,703.02,711.15,760.18,775.49,763.35,765.05,832.85,813.8,746.65,671.95,590.72,603.18,638.7,576.29
chn,China,43052.07,42884.99,42017.1,41274.96,40716.3,39243.72,37310.73,36009.24,34675.56,32943.44,31029.38,28609.46,27468.01,27535.22,27249.54,25601.58,23758.93,22368.26,21115.83,20462.65,18873.89,17157.9,15674.97,14724.89,13915.12,13286.86,12838.76,12496.61,12298.84,12076.3,11859.77,11760.39
civ,Cote d'Ivoire,1095.37,1161.78,1236.95,1349.18,1452.9,1584.33,1623.72,1679.42,1760.6,1804.49,1885.76,1892.11,1958.42,2105.87,2163.18,2153.37,2037.36,2049.04,2004.88,2016.12,2070.01,2112.82,2150.38,2290.82,2352.51,2386.6,2442.38,2393.43,2342.96,2286.63,2302.19,2305.94
cmr,Cameroon,299.89,366.87,360.56,404.42,408.03,393.41,412.45,436.07,512.64,476.9,502.5,517.61,544.35,558.7,571.45,595.38,625.37,572.41,599.39,634.26,661.18,676.49,689.51,707.37,726.98,728.33,752.58,809.14,752.41,767.49,760.12,789.34
cod,"Congo, Dem. Rep.",1206.59,1253.24,1271.57,4443.09,1423.68,1816.16,1528.23,1545.11,1783.64,3200.86,2640.36,2202.77,4647.63,2671.57,1791.38,1799.38,1841.11,1905.87,2033.48,2047.76,2118.03,2208.93,2457.99,2390.79,2494.58,2381.6,3121.87,3160.6,4130.75,2539.1,3208.51,2921.7
